3.7039597990 1.2982258110
3.7863182580 1.2933342736
3.9039731993 1.2876377997
4.0216281407 1.2819413258
4.1981105528 1.2759352609
4.3392964824 1.2707341326
4.4804824121 1.2655330042
4.6216683417 1.2603318759
4.7628542714 1.2551307475
4.9040402010 1.2499296192
5.0805226131 1.2450380818
5.2923015075 1.2398369535
5.5040804020 1.2345119887
5.7158592965 1.2293108604
5.9276381910 1.2242335684
6.1747135678 1.2194658674
6.4217889447 1.2150696756
6.6688643216 1.2105496474
6.9512361809 1.2058129055
7.2336080402 1.2018191819
7.5512763819 1.1974353738
7.9042412060 1.1927543583
8.2925025126 1.1884448519
8.7160603015 1.1839867419
9.1396180905 1.1798382228
9.5631758794 1.1762469676
9.9867336683 1.1727795487
10.4102914573 1.1696217207
10.8338492462 1.1669592384
11.2574070352 1.1641110014
11.6809648241 1.1618200282
12.1045226131 1.1595290550
12.5280804020 1.1573619182
12.9516381910 1.1553186178
13.3751959799 1.1534610719
13.7987537688 1.1516654443
14.2223115578 1.1501174894
14.6458693467 1.1485076164
15.0694271357 1.1470215797
15.4929849246 1.1457212976
15.9165427136 1.1442971791
16.3401005025 1.1431207334
16.7636582915 1.1420062059
17.1872160804 1.1408916784
17.6107738693 1.1397771509
18.0343316583 1.1387245416
18.4578894472 1.1377957687
18.8814472362 1.1368669958
19.3050050251 1.1360001410
19.7285628141 1.1351332863
20.1521206030 1.1342664316
20.5756783920 1.1334614951
20.9992361809 1.1326565585
21.4227939698 1.1320373766
21.8463517588 1.1312943583
22.2699095477 1.1306751763
22.6934673367 1.1299940762
23.1170251256 1.1293748942
23.5405829146 1.1288176305
23.9641407035 1.1282603667
24.3876984925 1.1277031030
24.8112562814 1.1270220028
25.2348140704 1.1264028209
25.6583718593 1.1257062412
26.0819296482 1.1255978843
26.5054874372 1.1251025388
26.9290452261 1.1246071932
27.3526030151 1.1242356841
27.7761608040 1.1237403385
28.1997185930 1.1233069111
28.6232763819 1.1228734838
29.0468341709 1.1225638928
29.4703919598 1.1221304654
29.8939497487 1.1217589563
30.3175075377 1.1213874471
30.7410653266 1.1210778561
31.1646231156 1.1207063470
31.5881809045 1.1203967560
32.0117386935 1.1200871650
32.4352964824 1.1197156559
32.8588542714 1.1194679831
33.2824120603 1.1192203103
33.7059698492 1.1189107193
34.1138492462 1.1186011283
35.4002010050 1.1178581100
35.8237587940 1.1175485190
36.2473165829 1.1173008463
36.6708743719 1.1170531735
37.0944321608 1.1167435825
37.5179899497 1.1164959097
37.9415477387 1.1163101551
38.3651055276 1.1160005642
38.7886633166 1.1158148096
39.2122211055 1.1156290550
39.6357788945 1.1153813822
39.8828542714 1.1152575458
34.5527638191 1.1182651622
34.9547738693 1.1180535966
